fly_id,bin_start,genotype,sex,treatment,MT_sum,Pn_var,bin_index,state,state_label
M13_09_25_25_Ch27,2025-09-26 09:00:00,SSS,Male,VEH,0.0,0.0,0,2,Critical
M13_09_25_25_Ch27,2025-09-26 09:05:00,SSS,Male,VEH,0.0,0.0,1,2,Critical
M13_09_25_25_Ch27,2025-09-26 09:10:00,SSS,Male,VEH,0.0,0.0,2,2,Critical
M13_09_25_25_Ch27,2025-09-26 09:15:00,SSS,Male,VEH,0.0,0.0,3,2,Critical
M13_09_25_25_Ch27,2025-09-26 09:20:00,SSS,Male,VEH,0.0,0.0,4,1,Declining
M13_09_25_25_Ch27,2025-09-26 09:25:00,SSS,Male,VEH,0.0,0.0,5,1,Declining
M13_09_25_25_Ch27,2025-09-26 09:30:00,SSS,Male,VEH,0.0,0.0,6,2,Critical
M13_09_25_25_Ch27,2025-09-26 09:35:00,SSS,Male,VEH,0.0,0.0,7,1,Declining
M13_09_25_25_Ch27,2025-09-26 09:40:00,SSS,Male,VEH,0.0,0.0,8,1,Declining
M13_09_25_25_Ch27,2025-09-26 09:45:00,SSS,Male,VEH,0.0,0.0,9,1,Declining
M13_09_25_25_Ch27,2025-09-26 09:50:00,SSS,Male,VEH,0.0,0.0,10,1,Declining
M13_09_25_25_Ch27,2025-09-26 09:55:00,SSS,Male,VEH,0.0,0.0,11,1,Declining
M13_09_25_25_Ch27,2025-09-26 10:00:00,SSS,Male,VEH,0.0,0.0,12,2,Critical
M13_09_25_25_Ch27,2025-09-26 10:05:00,SSS,Male,VEH,0.0,0.0,13,2,Critical
M13_09_25_25_Ch27,2025-09-26 10:10:00,SSS,Male,VEH,0.0,0.0,14,2,Critical
M13_09_25_25_Ch27,2025-09-26 10:15:00,SSS,Male,VEH,0.0,0.0,15,2,Critical
M13_09_25_25_Ch27,2025-09-26 10:20:00,SSS,Male,VEH,0.0,0.0,16,2,Critical
M13_09_25_25_Ch27,2025-09-26 10:25:00,SSS,Male,VEH,0.0,0.0,17,2,Critical
M13_09_25_25_Ch27,2025-09-26 10:30:00,SSS,Male,VEH,0.0,0.0,18,2,Critical
M13_09_25_25_Ch27,2025-09-26 10:35:00,SSS,Male,VEH,0.0,0.0,19,2,Critical
M13_09_25_25_Ch27,2025-09-26 10:40:00,SSS,Male,VEH,0.0,0.0,20,0,Healthy
M13_09_25_25_Ch27,2025-09-26 10:45:00,SSS,Male,VEH,0.0,0.0,21,0,Healthy
M13_09_25_25_Ch27,2025-09-26 10:50:00,SSS,Male,VEH,0.0,0.0,22,0,Healthy
M13_09_25_25_Ch27,2025-09-26 10:55:00,SSS,Male,VEH,0.0,0.0,23,2,Critical
M13_09_25_25_Ch27,2025-09-26 11:00:00,SSS,Male,VEH,0.0,0.0,24,2,Critical
M13_09_25_25_Ch27,2025-09-26 11:05:00,SSS,Male,VEH,0.0,0.0,25,2,Critical
M13_09_25_25_Ch27,2025-09-26 11:10:00,SSS,Male,VEH,0.0,0.0,26,1,Declining
M13_09_25_25_Ch27,2025-09-26 11:15:00,SSS,Male,VEH,0.0,0.0,27,1,Declining
M13_09_25_25_Ch27,2025-09-26 11:20:00,SSS,Male,VEH,0.0,0.0,28,2,Critical
M13_09_25_25_Ch27,2025-09-26 11:25:00,SSS,Male,VEH,0.0,0.0,29,0,Healthy
M13_09_25_25_Ch27,2025-09-26 11:30:00,SSS,Male,VEH,0.0,0.0,30,0,Healthy
M13_09_25_25_Ch27,2025-09-26 11:35:00,SSS,Male,VEH,0.0,0.0,31,0,Healthy
M13_09_25_25_Ch27,2025-09-26 11:40:00,SSS,Male,VEH,0.0,0.0,32,0,Healthy
M13_09_25_25_Ch27,2025-09-26 11:45:00,SSS,Male,VEH,0.0,0.0,33,0,Healthy
M13_09_25_25_Ch27,2025-09-26 11:50:00,SSS,Male,VEH,0.0,0.0,34,2,Critical
M13_09_25_25_Ch27,2025-09-26 11:55:00,SSS,Male,VEH,0.0,0.0,35,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:00:00,SSS,Male,VEH,0.0,0.0,36,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:05:00,SSS,Male,VEH,0.0,0.0,37,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:10:00,SSS,Male,VEH,0.0,0.0,38,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:15:00,SSS,Male,VEH,0.0,0.0,39,1,Declining
M13_09_25_25_Ch27,2025-09-26 12:20:00,SSS,Male,VEH,0.0,0.0,40,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:25:00,SSS,Male,VEH,0.0,0.0,41,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:30:00,SSS,Male,VEH,0.0,0.0,42,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:35:00,SSS,Male,VEH,0.0,0.0,43,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:40:00,SSS,Male,VEH,0.0,0.0,44,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:45:00,SSS,Male,VEH,0.0,0.0,45,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:50:00,SSS,Male,VEH,0.0,0.0,46,2,Critical
M13_09_25_25_Ch27,2025-09-26 12:55:00,SSS,Male,VEH,0.0,0.0,47,1,Declining
M13_09_25_25_Ch27,2025-09-26 13:00:00,SSS,Male,VEH,0.0,0.0,48,2,Critical
M13_09_25_25_Ch27,2025-09-26 13:05:00,SSS,Male,VEH,0.0,0.0,49,2,Critical
M13_09_25_25_Ch27,2025-09-26 13:10:00,SSS,Male,VEH,0.0,0.0,50,2,Critical
M13_09_25_25_Ch27,2025-09-26 13:15:00,SSS,Male,VEH,0.0,0.0,51,2,Critical
M13_09_25_25_Ch27,2025-09-26 13:20:00,SSS,Male,VEH,0.0,0.0,52,1,Declining
M13_09_25_25_Ch27,2025-09-26 13:25:00,SSS,Male,VEH,0.0,0.0,53,2,Critical
M13_09_25_25_Ch27,2025-09-26 13:30:00,SSS,Male,VEH,0.0,0.0,54,2,Critical
M13_09_25_25_Ch27,2025-09-26 13:35:00,SSS,Male,VEH,0.0,0.0,55,2,Critical
M13_09_25_25_Ch27,2025-09-26 13:40:00,SSS,Male,VEH,0.0,0.0,56,2,Critical
M13_09_25_25_Ch27,2025-09-26 13:45:00,SSS,Male,VEH,0.0,0.0,57,1,Declining
M13_09_25_25_Ch27,2025-09-26 13:50:00,SSS,Male,VEH,0.0,0.0,58,1,Declining
M13_09_25_25_Ch27,2025-09-26 13:55:00,SSS,Male,VEH,0.0,0.0,59,1,Declining
M13_09_25_25_Ch27,2025-09-26 14:00:00,SSS,Male,VEH,0.0,0.0,60,2,Critical
